Title,Series,Universal Link,Amazon Link,ASIN,Bookfunnel Link,Bookbub Link,Goodreads Link,Booksprout Link
HOT SHOT,Minnesota Raiders Novel,getbook.at/HotShotPippaGreen,https://www.amazon.com/dp/B096Q38TSJ/,B096Q38TSJ,https://BookHip.com/DJATXQG,https://www.bookbub.com/books/hot-shot-a-single-dad-nanny-sports-romance-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/58274930-hot-shot,https://booksprout.co/arc/67356/hot-shot-minnesota-raiders-book-1
SINGLE SHOT,Minnesota Raiders Novel,https://books2read.com/u/mld7jM,https://www.amazon.com/dp/B096VWVYLV,B096VWVYLV,https://BookHip.com/MTRMWBR,https://www.bookbub.com/books/single-shot-an-enemies-to-lovers-sports-romance-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/58319972-single-shot,https://booksprout.co/arc/71274/single-shot-a-minnesota-raiders-novel
LAST SHOT,Minnesota Raiders Novel,https://books2read.com/u/bzeR8E,https://www.amazon.com/dp/B096YNTHMR,B096YNTHMR,,https://www.bookbub.com/books/last-shot-a-forbidden-workplace-romance-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/58319977-last-shot,https://booksprout.co/arc/72170/last-shot-a-minnesota-raiders-novel
SECOND SHOT,Minnesota Raiders Novel,https://books2read.com/u/bMwPRB,https://www.amazon.com/dp/B09BZ31J29,B09BZ31J29,,https://www.bookbub.com/books/second-shot-a-fake-relationship-sports-romance-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/58869169-second-shot,https://booksprout.co/arc/76602/second-shot-a-minnesota-raiders-novel
SLIP SHOT,Minnesota Raiders Novel,https://books2read.com/u/3keW5N,https://www.amazon.com/dp/B09BZ2PZHP,B09BZ2PZHP,,https://www.bookbub.com/books/slip-shot-an-accidental-pregnancy-sports-romance-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/58869184-slip-shot,https://booksprout.co/arc/78854/slip-shot-a-minnesota-raiders-novel
SNAP SHOT,Minnesota Raiders Novel,https://books2read.com/u/3JZArv,https://www.amazon.com/dp/B09JCGGKXL,B09JCGGKXL,https://BookHip.com/RFVDABX,https://www.bookbub.com/books/snap-shot-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/59495868-snap-shot,https://booksprout.co/arc/81987/snap-shot-a-minnesota-raiders-novel
PENALTY SHOT,Minnesota Raiders Novel,https://books2read.com/u/bMYpk7,https://www.amazon.com/dp/B09NF6SCQR,B09NF6SCQR,https://BookHip.com/MXWFRZF,https://www.bookbub.com/books/penalty-shot-a-best-friend-s-little-sister-forbidden-romance-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/59846022-penalty-shot,https://booksprout.co/arc/86823/penalty-shot-a-minnesota-raiders-novel
STOLEN SHOT,Minnesota Raiders Novel,https://books2read.com/u/4jPGol,https://www.amazon.com/dp/B09RG72B8K,B09RG72B8K,https://BookHip.com/XWVFLPS,https://www.bookbub.com/books/stolen-shot-an-accidental-vegas-marriage-sports-romance-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/60507257-stolen-shot,
CRACK SHOT,Minnesota Raiders Novel,,https://www.amazon.com/dp/B0B4STKJNT,B0B4STKJNT,,https://www.bookbub.com/books/crack-shot-a-minnesota-raiders-novel-by-pippa-green,https://www.goodreads.com/book/show/61365205-crack-shot,
MATCH MADE,Arizona Rattlesnakes Novel (Prequel),,,,https://BookHip.com/LHDBWFQ,,,
